00:00:00.000000 ; TestPlan       ; Information ; Starting TestPlan 'Untitled' on 06/14/2024 11:45:11, 147 of 399 TestSteps enabled.
00:00:05.047305 ; 5G BSE         ; Debug       ; SCPI >> *IDN? [213 us]
00:00:05.047305 ; 5G BSE         ; Debug       ; SCPI << Keysight Technologies,C8700200A Test Application Framework,US12345678,24.19.0.1190
00:00:05.047305 ; 5G BSE         ; Information ; Now connected to: Keysight Technologies,C8700200A Test Application Framework,US12345678,24.19.0.1190
00:00:05.047305 ; 5G BSE         ; Debug       ; SCPI >> *CLS [21.0 us]
00:00:05.047305 ; 5G BSE         ; Debug       ; SCPI >> *IDN? [167 us]
00:00:05.047305 ; 5G BSE         ; Debug       ; SCPI << Keysight Technologies,C8700200A Test Application Framework,US12345678,24.19.0.1190
00:00:05.047305 ; 5G BSE         ; Information ; Resource "5G BSE (TCPIP0::localhost::hislip2::INSTR)" opened. [5.01 s]
00:00:07.040428 ; V_HCCU         ; Debug       ; Connecting to 'TCPIP0::localhost::5025::SOCKET'
00:00:07.040428 ; V_HCCU         ; Debug       ; Connecting to 'TCPIP0::localhost::5025::SOCKET'
00:00:07.064943 ; TestPlan       ; Information ; Waiting for resources to open:
00:00:07.064943 ; TestPlan       ; Information ;  - V_HCCU (TCPIP0::localhost::5025::SOCKET)
00:00:07.064943 ; TestPlan       ; Information ;  - N6700_Virtual (TCPIP0::201.20.2.208::hislip0::INSTR)
00:00:12.041992 ; V_HCCU         ; Debug       ; Error opening 'V_HCCU': Cannot connect to instrument on address 'TCPIP0::localhost::5025::SOCKET'.
00:00:12.041992 ; V_HCCU         ; Debug       ;    at Keysight.Tap.ScpiInstrument.Open()   at Keysight.Tap.Plugins.HCCU.Instruments.Implementations.GeneratedInstrumentBase.Open()
00:00:12.041992 ; V_HCCU         ; Debug       ;    at Keysight.Tap.ScpiInstrument.a(ScpiIOResult A_0)   at Keysight.Tap.ScpiInstrument.Open()
00:00:12.041992 ; V_HCCU         ; Debug       ; Error opening 'V_HCCU': Cannot connect to instrument on address 'TCPIP0::localhost::5025::SOCKET'.
00:00:12.041992 ; V_HCCU         ; Debug       ;    at Keysight.Tap.ScpiInstrument.Open()   at Keysight.Tap.Plugins.HCCU.Instruments.Implementations.GeneratedInstrumentBase.Open()   at Keysight.Tap.Plugins.HCCU.Instruments.Implementations.HCCUVirtualInstrument.Open()
00:00:12.041992 ; V_HCCU         ; Debug       ;    at Keysight.Tap.ScpiInstrument.a(ScpiIOResult A_0)   at Keysight.Tap.ScpiInstrument.Open()
00:00:12.042997 ; V_HCCU         ; Information ; Resource "V_HCCU (TCPIP0::localhost::5025::SOCKET)" opened. [12.0 s]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Start Test Actions \ E7515B-5G-NR.BSE Mode Selection PrePlanRun completed. [6.97 s]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Start Test Actions \ TestApp initial configuration PrePlanRun completed. [24.6 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Start Test Point Actions \ Configure Temperature & Humidity PrePlanRun completed. [3.50 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.Cell General Configuration PrePlanRun completed. [2.90 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.Transmission Setup PrePlanRun completed. [6.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.Cell Power PrePlanRun completed. [3.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.Frequency Setup PrePlanRun completed. [3.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.Expected Power Control PrePlanRun completed. [3.60 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.PUSCH Power Control PrePlanRun completed. [2.80 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.RRC NAS Security PrePlanRun completed. [5.00 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.Identities Settings PrePlanRun completed. [3.30 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.MAC Padding PrePlanRun completed. [3.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.Config EPS Default Bearer PrePlanRun completed. [3.70 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 \ E7515B-5G-NR.LTE.Configure LTE UL Used Ports PrePlanRun completed. [4.09 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.Basic Cell Config - CELL1 PrePlanRun completed. [130 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ RFT 5G NR T-0A.LTE DL Scheduler Configuration \ E7515B-5G-NR.LTE.DL RB Setup - CELL1 PrePlanRun completed. [14.0 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ RFT 5G NR T-0A.LTE DL Scheduler Configuration PrePlanRun completed. [21.8 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ RFT 5G NR T-0A.LTE UL Scheduler Configuration \ E7515B-5G-NR.LTE.UL RB Setup - CELL1 PrePlanRun completed. [9.80 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ RFT 5G NR T-0A.LTE UL Scheduler Configuration PrePlanRun completed. [17.8 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 \ E7515B-5G-NR.LTE.UE Power Control PrePlanRun completed. [3.00 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Cell Configuration - CELL1 PrePlanRun completed. [179 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Impairments Configuration - CELL1 \ OCNG PrePlanRun completed. [1.90 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Impairments Configuration - CELL1 \ E7515B-5G-NR.Apply Configured Changes PrePlanRun completed. [7.40 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ LTE CELL1 configuration \ RFT 5G NR T-0A.LTE Impairments Configuration - CELL1 PrePlanRun completed. [16.0 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ Load Seed PrePlanRun completed. [203 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ E7515B-5G-NR.UE Power Control PrePlanRun completed. [9.19 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.Frequency Setup PrePlanRun completed. [4.09 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.Power setup PrePlanRun completed. [4.09 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.Cell Config PrePlanRun completed. [4.09 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.Antenna Port Configuration PrePlanRun completed. [3.90 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.Phase Compensation PrePlanRun completed. [4.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.SSB Beam Configuration PrePlanRun completed. [4.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.SSB Configuration PrePlanRun completed. [3.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.HARQ PrePlanRun completed. [4.70 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PRACH Config PrePlanRun completed. [9.30 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH Coresets \ Common Coreset PrePlanRun completed. [3.50 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH Coresets PrePlanRun completed. [12.3 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH Common Search Space \ CSS 1 PrePlanRun completed. [3.00 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH Common Search Space PrePlanRun completed. [10.3 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space \ UESS 1 PrePlanRun completed. [2.90 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space \ UESS 2 PrePlanRun completed. [2.90 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config \ E7515B-5G-NR.PDCCH UE Specific Search Space PrePlanRun completed. [14.8 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDCCH Config PrePlanRun completed. [58.6 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDSCH Config PrePlanRun completed. [3.10 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PDSCH DMRS Config PrePlanRun completed. [3.10 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PUSCH Config PrePlanRun completed. [4.50 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PUSCH DMRS Config PrePlanRun completed. [3.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.Schedule PrePlanRun completed. [4.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PUCCH Config \ E7515B-5G-NR.PUCCH Common Configuration PrePlanRun completed. [2.70 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PUCCH Config \ E7515B-5G-NR.PUCCH Resources Configuration PrePlanRun completed. [5.60 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.PUCCH Config PrePlanRun completed. [13.8 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.SRS Config PrePlanRun completed. [5.09 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 \ E7515B-5G-NR.RACH PrePlanRun completed. [4.70 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.Basic Cell Config - CELL1 PrePlanRun completed. [235 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.PUSCH TDRA PrePlanRun completed. [3.10 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.PDSCH TDRA PrePlanRun completed. [4.70 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ E7515B-5G-NR.TDD UL-DL Config PrePlanRun completed. [3.60 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ DL Slot Config - CELL1 FC0 SC0 PrePlanRun completed. [28.1 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 \ UL Slot Config - CELL1 FC0 SC0 PrePlanRun completed. [13.7 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Cell Configuration - CELL1 PrePlanRun completed. [294 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Impairments Configuration - CELL1 \ E7515B-5G-NR.Apply Configured Changes PrePlanRun completed. [3.50 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.NR Impairments Configuration - CELL1 PrePlanRun completed. [13.0 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ NR CELL1 configuration \ RFT 5G NR T-0A.TestAppXappsPreamble PrePlanRun completed. [4.09 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ E7515B-5G-NR.System Error PrePlanRun completed. [330 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Cells configuration \ E7515B-5G-NR.LTE.Ignore LTE Procedures PrePlanRun completed. [3.60 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ NSA Attach Procedure \ RFT 5G NR T-0A.NR Set UE State \ E7515B-5G-NR.LTE.Attach - CELL1 PrePlanRun completed. [14.3 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ NSA Attach Procedure \ RFT 5G NR T-0A.NR Set UE State \ E7515B-5G-NR.Activate Cells PrePlanRun completed. [11.4 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ NSA Attach Procedure \ RFT 5G NR T-0A.NR Set UE State \ E7515B-5G-NR.NR Wait BSE State - CELL1 - ON PrePlanRun completed. [4.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ NSA Attach Procedure \ RFT 5G NR T-0A.NR Set UE State \ E7515B-5G-NR.LTE.NR Cell Reconfiguration with SgNB Addition PrePlanRun completed. [5.90 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ NSA Attach Procedure \ RFT 5G NR T-0A.NR Set UE State \ E7515B-5G-NR.NR Wait BSE State - CELL1 - CONNected PrePlanRun completed. [6.70 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ NSA Attach Procedure \ RFT 5G NR T-0A.NR Set UE State PrePlanRun completed. [48.5 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Trigger configuration - Activation PrePlanRun completed. [6.97 s]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ E7515B-5G-NR.LTE.Ignore LTE Procedures PrePlanRun completed. [5.60 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ RFT 5G NR T-0A.LTE DL Scheduler Configuration \ E7515B-5G-NR.LTE.DL RB Setup - CELL1 PrePlanRun completed. [9.19 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ RFT 5G NR T-0A.LTE DL Scheduler Configuration PrePlanRun completed. [13.7 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ RFT 5G NR T-0A.LTE UL Scheduler Configuration \ E7515B-5G-NR.LTE.UL RB Setup - CELL1 PrePlanRun completed. [7.70 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ RFT 5G NR T-0A.LTE UL Scheduler Configuration PrePlanRun completed. [14.3 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ E7515B-5G-NR.LTE.MAC Padding PrePlanRun completed. [4.90 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ E7515B-5G-NR.Apply Configured Changes PrePlanRun completed. [6.10 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ E7515B-5G-NR.LTE.Expected Power Control PrePlanRun completed. [3.40 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ E7515B-5G-NR.LTE.UE Power Control PrePlanRun completed. [5.20 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ E7515B-5G-NR.LTE.Cell Power PrePlanRun completed. [6.30 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 \ E7515B-5G-NR.Apply Configured Changes PrePlanRun completed. [4.70 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Set Measurement Conditions CELL1 PrePlanRun completed. [64.0 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Impairments Configuration - CELL1 \ AWGN PrePlanRun completed. [2.00 us]
00:00:12.042997 ; TestPlan       ; Debug       ; 6.2B.1.3 \ Configure Meas Conditions \ RFT 5G NR T-0A.LTE Impairments Configuration - CELL1 \ E7515B-5G-NR.Apply Configured Changes PrePlanRun completed. [4.00 us]
